,count,jaccard,z_score
akun,245.0,0.007456554158931126,-9.595340531291452
biaya,428.0,0.012683736367946894,4.079451267387596
cs,207.0,0.00647340275823248,-14.31552930362993
daftar,345.0,0.010561116723298743,-14.587147851515855
dana,200.0,0.00625,-5.289104630963673
data,255.0,0.0077646843884169175,-15.861972266832943
download,62.0,0.0019515265974189486,-3.081796280787459
email,100.0,0.0031309684085287577,-10.380062887513283
eror,167.0,0.005239873238994697,-12.049807211495972
fitur,630.0,0.018847039818111106,7.952651618252932
hp,164.0,0.005112697571468654,-9.240118980441663
isi,403.0,0.011694039811966804,0.1758962644075348
jam,172.0,0.0054416603391546445,-11.621887441024628
kartu,525.0,0.016140437175269775,-1.6727088216486026
kode,280.0,0.008651588184402422,-5.095720944868382
login,177.0,0.0053969996341017195,-12.688707645151876
nasabah,180.0,0.005645996047802766,-6.563379319736595
nomor,463.0,0.014268984220907298,-15.435064652328046
pelayanan,88.0,0.0027764631645369933,-0.9830387878251671
pembayaran,158.0,0.004930720259642991,1.7510114752996753
pin,70.0,0.002196216233175415,-7.476679399614014
promo,136.0,0.0042955055115125864,-0.3046550508406219
proses,295.0,0.009154383242823895,-4.639309848536918
rekening,792.0,0.023833167825223437,-8.5235214210292
tabungan,197.0,0.00621137596165973,6.697538144803503
tampilan,199.0,0.006098682194299724,4.430259061665631
tarik,153.0,0.004842691650313351,-0.43379855863273264
transaksi,734.0,0.021133857360859175,4.562609992394101
uang,356.0,0.01039476757766877,-0.4317868515432301
verifikasi,377.0,0.011625397021184742,-19.905982960033644
