,count,jaccard,z_score
akun,35.0,0.0028966316312174127,-5.159244541136504
biaya,111.0,0.008488185363615508,-3.3202720271120203
cs,36.0,0.0032246506628448583,-6.3623555410815165
daftar,73.0,0.006106231702216646,-8.398203411764085
dana,36.0,0.0032200357781753132,-2.5149494129711485
data,181.0,0.015170564076774789,-11.705347265592716
download,16.0,0.0014771048744460858,-3.823471488814875
email,54.0,0.004908644668666485,-5.663822440577463
eror,79.0,0.0071981776765375855,-7.335019328118366
fitur,92.0,0.007087281411293429,3.027623694638593
hp,52.0,0.00464078536367693,-3.061375436920023
isi,54.0,0.0039054024734215664,0.06136795645688021
jam,17.0,0.001577140736617497,-3.0214263932906382
kartu,133.0,0.011143695014662757,-4.548630483464762
kode,22.0,0.001890359168241966,-4.096166365095543
login,89.0,0.007478991596638655,-7.6908868377785256
nasabah,80.0,0.007274711284895881,-3.4300570306062554
nomor,70.0,0.005903685586573332,-3.550707129174651
pelayanan,46.0,0.0042778759415976935,0.4237828031259975
pembayaran,41.0,0.003668247293549253,-1.4467298446214127
pin,10.0,0.0009133254178463787,-0.2921829119003374
promo,23.0,0.0021316033364226134,-1.2301821313841066
proses,62.0,0.005403521004009064,0.2837374890659705
rekening,136.0,0.010540184453227932,-6.128992751141736
tabungan,30.0,0.0027525461051472614,-1.2730937164197378
tampilan,26.0,0.002199847702851341,2.1584505297040426
tarik,26.0,0.0024215330166713236,0.5143450567806659
transaksi,128.0,0.008917996237720337,1.229028138011241
uang,75.0,0.005537098560354375,-1.0506312523040264
verifikasi,81.0,0.006898901286091474,-7.07889600845715
