,count,jaccard,z_score
akun,416.0,0.01073077617561328,-15.923133025062045
biaya,396.0,0.009935519482148682,-7.168716072969103
cs,246.0,0.0064704489860332995,-20.204170921354585
daftar,227.0,0.005840580455925487,-12.030239273124838
dana,113.0,0.0029605952630475793,-6.358320234906951
data,353.0,0.009092314032557182,-21.09318062662243
download,319.0,0.008485396605841357,6.803572966034754
email,228.0,0.006017101235089201,-19.559712577284866
eror,160.0,0.004215074158960984,-17.39288188466254
fitur,1019.0,0.026048723126869296,15.597575841640198
hp,408.0,0.01076119639183415,-18.30901434358151
isi,1834.0,0.046890979750460214,24.24821986503439
jam,77.0,0.0020378996400592844,-10.852371298737559
kartu,217.0,0.0055761126528934115,-3.0088704421898993
kode,175.0,0.004539559014267186,-17.06723486721128
login,650.0,0.01692532027913759,-35.04374549296188
nasabah,180.0,0.00474158368895211,-9.525523885086391
nomor,207.0,0.005337114863993812,-12.42150584116466
pelayanan,160.0,0.004243581582855931,-9.904957164593565
pembayaran,527.0,0.01395804640322068,12.319535472321387
pin,325.0,0.008620918326746068,-24.942240541964683
promo,96.0,0.002540892488486581,-2.6323400927832066
proses,354.0,0.009255627892383716,1.794487380736208
rekening,322.0,0.00809411291538887,-3.472223634522697
tabungan,182.0,0.004813286787263302,4.345337791643014
tampilan,1307.0,0.034757865063957664,17.25597289503821
tarik,100.0,0.002650551314673452,-0.3409015683062317
transaksi,1258.0,0.031225178713264495,14.662981465881927
uang,1030.0,0.025974025974025976,11.674954695249276
verifikasi,189.0,0.004883973331955139,-13.362589551045673
