,count,jaccard,z_score
akun,319.0,0.009044513751063226,-16.052533611956108
biaya,343.0,0.009444872783346183,1.3641009250579172
cs,102.0,0.0029506204981341664,-11.539251584947658
daftar,409.0,0.011655742376745512,-12.184270155522137
dana,309.0,0.008988306475071267,-13.432473913389158
data,241.0,0.006819082111934808,-15.01383852272564
download,161.0,0.0047133907137420225,-4.377410681176753
email,133.0,0.0038670659727270086,-12.071670167324866
eror,221.0,0.0064423973880597014,-14.623466843042143
fitur,257.0,0.007082426213244413,2.9310174981712565
hp,165.0,0.00477389115528166,-8.40967617363735
isi,512.0,0.013897937024972856,-17.32460922164437
jam,195.0,0.005723174454097206,-13.682484062212403
kartu,74.0,0.0020865642182433387,1.6711722800091668
kode,675.0,0.019590201996749476,-1.7461186838115264
login,399.0,0.011380165996406264,-17.40666798078854
nasabah,152.0,0.004419118502151413,-3.988709000601196
nomor,362.0,0.01033222970658751,-9.758467787884799
pelayanan,67.0,0.001958892494810397,-1.1855530774790486
pembayaran,89.0,0.0025722543352601156,-2.5230147164776957
pin,57.0,0.0016582782998283536,-6.161057768735348
promo,67.0,0.0019580910073939855,-0.4075885710127837
proses,131.0,0.0037561646977864434,-7.643366828616168
rekening,675.0,0.018836333193804938,-23.1538345340461
tabungan,131.0,0.003822696898071143,-2.999512165471665
tampilan,18.0,0.0005099439061703213,0.5124390273720207
tarik,100.0,0.002929630280658581,-4.572765023910129
transaksi,384.0,0.010221465076660987,-0.7049445324376347
uang,680.0,0.018675674933399247,-8.464025230231876
verifikasi,444.0,0.01274068122471233,-22.92074849444036
