,count,jaccard,z_score
akun,180.0,0.006485551632197161,-20.0504810139589
biaya,1082.0,0.03875080581620228,9.296349455039469
cs,217.0,0.008097317064069555,-25.090952431189223
daftar,224.0,0.008110065170166545,-21.103358738194107
dana,189.0,0.007040941772529151,-14.571032493915732
data,191.0,0.006886108807729747,-21.793094300074653
download,62.0,0.0023306518306894218,-9.57906156983106
email,51.0,0.001901565995525727,-12.779824248360672
eror,64.0,0.0023875251809296425,-12.139978799008452
fitur,386.0,0.01354243412974073,2.219432484113499
hp,69.0,0.002555177010813213,-10.085258024711948
isi,432.0,0.014761660686827268,-9.408977147906851
jam,82.0,0.0030908405578590277,-14.25327863014019
kartu,281.0,0.010180052892801507,1.3101305164532635
kode,121.0,0.004423322975690002,-4.363078869722024
login,75.0,0.002704652001442481,-15.564540147713364
nasabah,164.0,0.006135657899659546,-7.1928589875223485
nomor,182.0,0.00660353397917347,-8.783241403430782
pelayanan,138.0,0.00521207085394871,-1.0790547688515466
pembayaran,128.0,0.004757303203746377,0.5037746724758905
pin,132.0,0.004954397027361784,-17.034879652290254
promo,125.0,0.004716269242378509,-6.161192348777738
proses,250.0,0.009224411482547414,-4.446431528876667
rekening,459.0,0.01616424848570221,-18.425757304364435
tabungan,142.0,0.005337743863474045,-0.9231192387868742
tampilan,71.0,0.002573396158028271,2.523761471431678
tarik,135.0,0.00510512781727424,-2.170283849400858
transaksi,905.0,0.03079069134458356,4.158858542686887
uang,462.0,0.015945330296127564,-14.47050900543342
verifikasi,152.0,0.005530088044822819,-20.467193515775918
