,count,jaccard,z_score
akun,210.0,0.009994288977727013,-10.285192904706774
biaya,465.0,0.02130388967792184,11.689604111071041
cs,102.0,0.005049005049005049,-7.624970370137486
daftar,198.0,0.009458297506448839,-12.566460919360892
dana,80.0,0.003952569169960474,-3.5607475834653126
data,254.0,0.012117164392710619,-18.381911426174202
download,52.0,0.0026130653266331657,-3.0531289423892565
email,69.0,0.003434544549527128,-8.444526552027876
eror,149.0,0.007446649007946424,-15.257954104240605
fitur,187.0,0.008503865393360618,5.996050244487803
hp,84.0,0.00414262464861666,-6.8974447634485125
isi,158.0,0.00692162789678889,1.117493133283016
jam,25.0,0.0012578616352201257,-5.0172910574957825
kartu,354.0,0.017004515323277933,-7.704434085486438
kode,92.0,0.00445046439628483,-3.4919684840776277
login,120.0,0.005721642111285939,-11.38646870562745
nasabah,90.0,0.004479617739286248,-6.038109232816068
nomor,160.0,0.007666139619567821,-6.672536379962015
pelayanan,96.0,0.004846771343464432,-2.015732432855247
pembayaran,52.0,0.002565367538233843,2.2528136356922412
pin,52.0,0.002598570786067663,-8.671185789769666
promo,129.0,0.006519102486355367,1.447721755975868
proses,158.0,0.007714090420857338,-5.7310157313460985
rekening,264.0,0.012066365007541479,-6.991612019459469
tabungan,125.0,0.006278882861161342,0.03592772410027207
tampilan,72.0,0.003448771375197586,2.8379740326455156
tarik,42.0,0.0021185372005044136,2.250343459519563
transaksi,352.0,0.015150862996599665,3.696429064969353
uang,210.0,0.009327529537176868,2.104431824106083
verifikasi,178.0,0.008579140158087526,-18.247080914013832
