var_1;var_2
jago;jago
jago;jenius
jago;digi
jago;neo
jago;blu
jago;line
jago;tmrw
jago;sea
jago;motion
jenius;jago
jenius;jenius
jenius;digi
jenius;neo
jenius;blu
jenius;line
jenius;tmrw
jenius;sea
jenius;motion
digi;jago
digi;jenius
digi;digi
digi;neo
digi;blu
digi;line
digi;tmrw
digi;sea
digi;motion
neo;jago
neo;jenius
neo;digi
neo;neo
neo;blu
neo;line
neo;tmrw
neo;sea
neo;motion
blu;jago
blu;jenius
blu;digi
blu;neo
blu;blu
blu;line
blu;tmrw
blu;sea
blu;motion
line;jago
line;jenius
line;digi
line;neo
line;blu
line;line
line;tmrw
line;sea
line;motion
tmrw;jago
tmrw;jenius
tmrw;digi
tmrw;neo
tmrw;blu
tmrw;line
tmrw;tmrw
tmrw;sea
tmrw;motion
sea;jago
sea;jenius
sea;digi
sea;neo
sea;blu
sea;line
sea;tmrw
sea;sea
sea;motion
motion;jago
motion;jenius
motion;digi
motion;neo
motion;blu
motion;line
motion;tmrw
motion;sea
motion;motion
